"reponse","churn","timely_response","timely_fixes","timely_replacements","reliability","service_options","respectful_response","courteous_exchange","active_listening"
1,"Yes",2.1,1.8,1.9,2.1,2.1,2.2,2.2,2.1
2,"Yes",13.5,14,14.9,13.3,14,12.2,13,12.6
3,"Yes",33.4,32.9,32.8,33.7,34.6,35,34.4,34.9
4,"Yes",34.5,34.6,34,35.3,33.8,33.4,34.4,34.9
5,"Yes",13.5,13.7,13.6,13.8,13.6,14.6,13.4,13.2
6,"Yes",2.4,2.6,2.1,1.5,1.7,2.1,2.3,1.9
7,"Yes",0.2,0.1,0.3,0,0,0.3,0.1,0.1
8,"Yes",0,0,0,0,0,0,0,0
1,"No",2.2,2.2,2,2.2,2,1.7,2.1,2
2,"No",14,13.4,13.9,13.5,13.7,15,13.1,14.2
3,"No",34.8,34.5,34.8,34.5,34.6,34.2,34.4,34.5
4,"No",33.2,33.9,34.1,34.2,34.2,33.2,34.6,33.6
5,"No",13.5,13.6,12.9,13.1,13,13.5,13.3,13.3
6,"No",1.8,1.9,1.9,2.2,2.1,2,2.2,2
7,"No",0.1,0.1,0,0.1,0.1,0,0,0.1
8,"No",0,0,0,0,0,0,0,0
